excel_name,excel_price,closest_deliv,score
معطر الجو بريلكس 430مل,"240,00",معطر الجو بريلكس,0.75
بريلكس مزيل الدهون صغير 500مل,"240,00",بريلكس مزيل الدهون صغير,0.8
نايا الاصلي 1ل,"360,00",نايا الاصلي,0.67
مسلك المجاري 400غ,"250,00",مسلك المجاري,0.67
مبيد الحشرات ستوب 300مل,"190,00",مبيد الحشرات ستوب,0.75
مبيد ساميتوكس صغير 400مل,"170,00",مبيد ساميتوكس صغير,0.75
نظاف و لماع ناصح 720مل,"185,00",نظاف و لماع ناصح,0.75
روح الملح ناصح 720مل,"180,00",روح الملح ناصح,0.75
اقل جل مضاد الترسبات 700مل,"240,00",اقل جل مضاد الترسبات,0.8
صانيبو بريلكس سودي 850مل,"85,00",صانيبو بريلكس سودي,0.75
قريزيل اسود بريلكس 850مل,"100,00",قريزيل اسود بريلكس,0.75
صابون طرف كاريبو 250غ,"120,00",صابون طرف كاريبو,0.75
صابون طرف بالميدا 350غ,"80,00",صابون طرف بالميدا,0.75
جافيل ليسر 5ل,"240,00",جافيل ليسر,0.67
صابون غسيل الملابس توبسيل 4.5ل,"750,00",صابون غسيل الملابس توبسيل,0.8
صابون غسيل الملابس بريلكس 5ل,"700,00",صابون غسيل الملابس بريلكس,0.8
سائل غسيل الاواني نيب 3ل,"340,00",سايل غسيل الاواني نيب,0.8
غسول الملابس ليسر 3ل,"450,00",غسول الملابس ليسر,0.75
صانيبو ليسر 5ل,"320,00",صانيبو ليسر,0.67
غسول الملابس اورس بلون 3ل,"490,00",غسول الملابس اورس بلون,0.8
جافيل دوز 5ل,"270,00",جافيل دوز,0.67
صانيبو بريلكس 5ل,"350,00",صانيبو بريلكس,0.67
روح الملح ريد فورس 750مل,"140,00",روح الملح ريد فورس,0.8
ماء اروى بيدون 5.5ل,"90,00",ما اروي بيدون,0.75
صابون لايف 1.5ل,"280,00",صابون لايف,0.67
ماء بوقلاز بيدون 5ل,"135,00",ما بوقلاز بيدون,0.75
فرماج بارمجيانو 1.8كغ,"630,00",فرماج بارمجيانو,0.67
شيزي شرائح 150غ,"220,00",شيزي شرايح,0.67
كرام فراش كانديا 500مل,"260,00",كرام فراش كانديا 20سل,0.75
كرام فراش صومام 500مل,"220,00",كرام فراش صومام,0.75
فرماج طارتينو 16 قطعة,"270,00",فرماج طارتينو,0.5
فرماج طارتينو 24 قطعة,"395,00",فرماج طارتينو,0.5
فستق باطة 35غ,"120,00",فستق باطه,0.67
كاجو باطة 35غ,"130,00",كاجو باطه,0.67
لوز باطة 35غ,"120,00",لوز باطه,0.67
مومنت شوكولاطة 90غ,"230,00",مومنت شوكولاطه,0.67
حلوة الترك قابسة 320غ,"340,00",حلوه الترك قابسه,0.75
صابون سائل امير 390مل,"140,00",صابون سايل امير,0.75
عطر اطفال 50مل,"140,00",عطر اطفال,0.67
معطر الجو لايف 500مل,"280,00",معطر الجو لايف,0.75
معطر الجو فورس اكسبرس 430مل,"300,00",معطر الجو فورس اكسبرس,0.8
جال دوش 250مل,"140,00",جال دوش فينوس,0.67
غسول الوجه سواليس 250مل,"250,00",غسول الوجه سواليس,0.75
شامبو دوركس 250مل,"120,00",شامبو دوركس,0.67
شامبو دوف 250مل,"340,00",شامبو دوف,0.67
شامبو كلير 180مل,"320,00",شامبو كلير,0.67
شامبو سنسيلك 180مل,"220,00",شامبو سنسيلك,0.67
شامبو سواليس 330مل,"300,00",شامبو سواليس,0.67
جال دوش فينوس 240مل,"140,00",جال دوش فينوس,0.75
شامبو فينوس 400مل,"130,00",شامبو فينوس,0.67
ماستر  شيبس,"120,00",ميني شيبس السطان +ماستر شيبس,1.0
فانتا 1لتر  برومو رمضان,"80,00",فانتا 1لتر برومو رمضان,1.0
عصير طازج 1لتر,"140,00",عصير طازج,0.67
صحن بلاستيك قطعة 20,"140,00",صحن بلاستيك قطعه,0.75
وفاء برومو اكستر 2,"185,00",وفا برومو اكستر,1.0
وفاء كلاسيكو الوان 2,"160,00",وفا كلاسيكو الوان,1.0
وفاء كلاسيكو  الوان 4,"250,00",وفا كلاسيكو الوان,1.0
بابي ليلا اكسترا 2,"150,00",بابي ليلا اكسترا,1.0
شوكولاطة تالنت ذوق اللوز  كبيرة,"150,00",شوكولاطه تالنت ذوق اللوز كبيره,1.0
ماء بوقلاز 1.5,"50,00",ما بوقلاز,1.0
قازوز اروى 2ل,"100,00",قازوز اروي رمان,0.67
قازوز بدر 2ل,"100,00",قازوز بدر,0.67
حمص  ميزان12,"420,00",حمص ميزان12,1.0
كوكاكولا 2ل,"160,00",كوكاكولا,0.5
فانتا 2ل,"140,00",فانتا,0.5
ماء مسعد 1.5,"40,00",ما مسعد,1.0
قازوز اروى اورونجينا 1ل,"75,00",قازوز اروي اورونجينا,0.75
قازوز شريعة 2ل,"110,00",قازوز شريعه,0.67
قازوز اروى 1ل,"60,00",قازوز اروي رمان,0.67
موزاية زاست 1ل,"85,00",موزايه زاست,0.67
شاي الراقي 125غ,"170,00",شاي الراقي,0.67
شاي اخضر الجمل 125غ,"170,00",شاي اخضر الجمل,0.75
فرينة سفينة 5كغ,"350,00",فرينه سفينه,0.67
قازوز زعيم اورونجينا 2ل,"130,00",قازوز زعيم اورونجينا,0.75
قازوز اروى اورونجينا 2ل,"130,00",قازوز اروي اورونجينا,0.75
قازوز اروى رمان 1ل,"75,00",قازوز اروي رمان,0.75
معجون اسنان مسواك 25غ,"150,00",معجون اسنان مسواك,0.75
معجون اسنان سنيال 50مل,"150,00",معجون اسنان سنيال,0.75
معجون اسنان سنيال 25مل,"85,00",معجون اسنان سنيال,0.75
كريم الحلاقة 75مل,"110,00",كريم الحلاقه,0.67
صابون سيدو 250غ,"150,00",صابون سيدو,0.67
معجون اسنان سيقادونت 100غ,"300,00",معجون اسنان سيقادونت,0.75
ملوخية 100غ,"100,00",ملوخيه,0.5
جي تشينا 2ل,"180,00",جي تشينا,0.67
انسبيراسيو 200مل,"230,00",انسبيراسيو,0.5
مونديو 200مل,"250,00",مونديو,0.5
جي رامي 2ل,"190,00",جي رامي,0.67
باسيو مان 200مل,"240,00",باسيو مان,0.67
دينا فورمان اونلي 200مل,"250,00",دينا فورمان اونلي,0.75
ماليزيا 210مل,"380,00",ماليزيا,0.5
جافيل امير 1ل,"110,00",جافيل امير,0.67
فرينة 10كغ,"350,00",فرينه بدون غلوتين,0.5
سميد سفينة 10كغ,"500,00",سميد سفينه,0.67
سيراج احذية 50مل,"130,00",سيراج احذيه,0.67
سيراج احذية 75مل,"140,00",سيراج احذيه,0.67
مساسيك الغسيل 20قطعة,"130,00",مساسيك الغسيل,0.67
فطر الحارة مقطع 900غ,"1 000,00",فطر الحاره مقطع,0.75
جي فروي ماكس 2ل,"120,00",جي فروي ماكس,0.75
جي باست جو 2ل,"80,00",جي باست جو,0.75
خبز اللب 500غ,"150,00",خبز اللب,0.67
صابلي بلكاراميل 12قطعة,"220,00",صابلي بلكاراميل,0.67
جي فرويتي 1 لتر,"100,00",جي فرويتي,0.67
جي فرويتي 2 لتر,"160,00",جي فرويتي,0.67
ماء مسعد 5.5,"90,00",ما مسعد,1.0
كوكا 1ل,"110,00",كوكا كانيط,0.5
لبن ساشي 1 لتر,"100,00",لبن ساشي,0.67
